Date,Policy #,Queue
"Wednesday, December 14, 2016",AT10296880,Docattach
"Wednesday, December 14, 2016",AT10283150,Docattach
"Wednesday, December 14, 2016",AT10290820,Docattach
"Wednesday, December 14, 2016",AT10290990,Docattach
"Wednesday, December 14, 2016",AT10298310,Docattach
"Wednesday, December 14, 2016",AT10304860,Docattach
"Thursday, December 22, 2016",AT10277070,Docattach
"Thursday, December 22, 2016",AT10297430,Docattach
"Thursday, December 22, 2016",AT10297420,Docattach
"Thursday, December 22, 2016",AT10289430,Docattach
"Friday, December 23, 2016",AT10289430,Docattach
"Wednesday, December 28, 2016",AT10293330,Docattach
"Wednesday, December 28, 2016",AT10300820,Docattach
"Wednesday, December 28, 2016",AT10303190,Docattach
"Wednesday, December 28, 2016",AT10283960,Docattach
"Wednesday, December 28, 2016",AT10285690,Docattach
"Wednesday, December 28, 2016",AT10288690,Docattach
"Tuesday, January 3, 2017",AT10308220,Docattach
"Thursday, January 5, 2017",AT10293050,Docattach
"Thursday, January 5, 2017",AT10290180,Docattach
"Thursday, January 5, 2017",AT10291770,Docattach
"Thursday, January 5, 2017",AT10296710,Docattach
"Thursday, January 5, 2017",AT10297860,Docattach
"Thursday, January 5, 2017",AT10298790,Docattach
"Friday, January 6, 2017",AT10281190,Docattach
"Friday, January 6, 2017",AT10302170,Docattach
"Monday, January 9, 2017",AU10002390,Docattach
"Monday, January 9, 2017",AT70005220,Docattach
"Monday, January 9, 2017",AT10293000,Docattach
"Monday, January 9, 2017",AT10288710,Docattach
"Monday, January 9, 2017",AT10280280,Docattach
"Tuesday, January 10, 2017",AT10305500,Docattach
"Tuesday, January 10, 2017",AT10304840,Docattach
"Tuesday, January 10, 2017",AT10305500,Docattach
"Tuesday, January 10, 2017",AT10304840,Docattach
"Tuesday, January 10, 2017",AT10304850,Docattach
"Tuesday, January 10, 2017",AT10297520,Docattach
"Tuesday, January 10, 2017",AT10261430,Docattach
"Tuesday, January 10, 2017",AT10274690,Docattach
"Wednesday, January 11, 2017",AT10297520,Docattach
"Wednesday, January 11, 2017",AT10304850,Docattach
"Wednesday, January 11, 2017",AT10308310,Docattach
"Wednesday, January 11, 2017",AT10292450,Docattach
