DATE,POLICY,DETAILS
"Tuesday, January 27, 2015",VF52803610,Decline
"Tuesday, January 27, 2015",VF52811620,Decline
"Tuesday, January 27, 2015",VF52801920,Decline
"Wednesday, January 28, 2015",VF52800930,Decline
"Wednesday, January 28, 2015",VF52818840,Return TIA
"Wednesday, January 28, 2015",VF52808120,Decline
"Wednesday, January 28, 2015",VF52804290,Return TIA
"Wednesday, January 28, 2015",VF52810620,Decline
"Wednesday, January 28, 2015",VF52816670,Decline
"Wednesday, January 28, 2015",VF52822810,Return TIA
"Thursday, January 29, 2015",VF52783190,Return TIA
"Thursday, January 29, 2015",VF52783180,Return TIA
"Friday, January 30, 2015",VF52791460,Return TIA
"Friday, January 30, 2015",VF52793830,Return TIA
"Friday, January 30, 2015",VF52817370,Decline
"Friday, January 30, 2015",VF52810510,Decline
"Tuesday, February 3, 2015",VF52789670,Return TIA
"Tuesday, February 3, 2015",VF52812800,Decline
"Wednesday, February 4, 2015",VF52818770,Return TIA
"Wednesday, February 4, 2015",VF52790670,Return TIA
"Wednesday, February 4, 2015",VF52789280,Return TIA
"Wednesday, February 4, 2015",VF52814540,Decline
"Wednesday, February 4, 2015",VF52796960,Decline
"Wednesday, February 4, 2015",VF52805400,Decline
"Wednesday, February 4, 2015",VF52804710,Decline
"Wednesday, February 4, 2015",VF52819120,Decline
"Monday, February 9, 2015",VF52785740,Return TIA
"Monday, February 9, 2015",VF52792520,Return TIA
"Monday, February 9, 2015",VF52793930,Return TIA
"Monday, February 9, 2015",VF52794190,Return TIA
"Monday, February 9, 2015",VF52807450,Decline
"Monday, February 9, 2015",VF52807040,Decline
